SYSTEM Asteroid Field	;{0} Asteroid Field
Galaxy Research Is Blind Explanation		;Only the next unresearched projects are visible in the tech tree.\n\nThis means that you are effectively researching 'blind', being unable to see later projects and paths in the tech tree.\n\nWhen combined with randomized projects and paths, this makes each game a unique research experience.
Galaxy Research Is Visible Explanation		;See all of the projects on the tech tree at the start of the game, including all of the paths between projects.\n\nNote that randomized research can still lead to unique research experiences

Galaxy Research Is Randomized		;Random Research Paths
Galaxy Research Is Static		;Fixed Research Paths

Galaxy Research Is Randomized Explanation		;Paths between research projects are randomly selected.\n\nThis means that each game has different ways to unlock new technologies.\n\nWhen combined with 'blind' research this makes each game a unique research experience.
Galaxy Research Is Static Explanation		;Paths between research projects are fixed, remaining the same across multiple games.\n\nThis makes for a more predictable research experience.

Expansion		;Expansion
Aggression		;Aggression
Caution		;Caution
Dependability		;Dependability
Difficulty		;Difficulty
Research Speed		;Research Speed
Research Visibility		;Research Visibility
Research Pathing		;Research Pathing

Pirates		;Pirates
Very Few		;Very Few
Few		;Few
Many		;Many
Very Many		;Very Many

Pirate Strength		;Pirate Strength
Very Weak		;Very Weak
Weak		;Weak
Strong		;Strong
Very Strong		;Very Strong

Pirate Proximity		;Pirate Proximity
Nearby		;Nearby
Average		;Average
Distant		;Distant
Very Distant		;Very Distant

Pirates Respawn		;Pirates Respawn
Pirates Respawn Yes		;Respawn
Pirates Respawn No		;Stay Dead!
Pirates Respawn Yes Explanation		;Destroyed pirate factions respawn at a new location
Pirates Respawn No Explanation		;Pirate factions that are completely wiped out do not respawn replacement pirate factions. This makes it easier to clear pirates from an area of the galaxy

Space Creatures		;Space Creatures

Colony Prevalence		;Colony Prevalence
Independent Colonies		;Independent Colonies
Very Abundant		;Very Abundant
Very Rare		;Very Rare
Rare		;Rare

Colony Influence Range		;Colony Influence Range
Colonization Range Limit		;Colonization Range Limit

Random		;Random
Random Race Explanation		;Randomly selected race

Random Seed Explanation		;Type a number here to set the random seed for the game.\n\nWhen you have the same random seed number along with the same game start settings, the same galaxy will be generated. This allows you to regenerate favourite galaxy maps from previous games.
Galaxy Shape Explanation		;The layout and distribution of stars and nebulae within the galaxy.
Star Amount Explanation		;How many stars are in the galaxy.\n\nLower amounts should only be played in smaller-sized galaxies, otherwise ships may have trouble jumping between distant star systems or finding paths between nebulae.
Nebula Density Explanation		;The amount of nebula clouds in the galaxy.\n\nLower nebula density makes navigation easier, whereas higher nebula density makes finding paths through nebulae more challenging and provides more 'geography' in the galaxy.
Galaxy Size Explanation		;The physical dimensions of the galaxy.\n\nLarger sizes should also have higher amounts of star systems so that ships can find paths between nebulae.
Expansion Explanation		;How old and developed the entire galaxy is.\n\nThis setting influences the following items: size and development level of auto-generated empires, size of independent alien populations.\n\nWhen Expansion is greater than 'Starting' then Tech Level must be at least level 1.
Your Empire Expansion Explanation		;How many colonies you have and how well established your empire is.\n\nThis includes the following factors: number of colonies, population levels at your colonies, how much of the galaxy you have explored, the number of ships and bases your empire has.\n\nWhen Expansion is greater than 'Starting' then Tech Level must be at least level 1.
Aggression Explanation		;How aggressive computer players are in the game.\n\nThere are other factors specific to each empire which also determine aggression levels, but this setting is a galaxy-wide value that influences all empires.
Difficulty Explanation		;Difficulty of gameplay. This alters the empire rates for various in-game factors relative to the player.\n\nFactors affected include: colony income, corruption, research speed, mining rate, population growth, war weariness, weapons targetting and countermeasures.
Research Speed Explanation		;How fast research occurs in the galaxy, and thus how quickly new components become available for use in ships and bases.\n\nThere are other factors specific to each empire which also determine research speed, but this setting is a galaxy-wide value that influences all empires.
Research Visibility Explanation		;When research projects become visible: either at game start or after researching parent projects.
Research Pathing Explanation		;Whether paths between research projects are fixed or random.
Pirates Explanation		;How many pirates are present in the galaxy.\n\nPirates can be a real problem, but they do have their uses...
Pirate Strength Explanation		;How strong pirates are and how fast they grow.
Pirate Proximity Explanation		;How close pirate factions start to colonized systems of empires.
Pirates Respawn Explanation		;Whether pirate factions restart after being eliminated.
Space Creatures Explanation		;How many space creatures are present in the galaxy.\n\nMany space creatures are dangerous and can pose threats to your ships and bases.\n\nHowever they may also provide resources that you can use.
Colony Prevalence Explanation		;Influences the general quality of planets and moons in the galaxy, thus determining the number of potential colonies.\n\nHigher quality planets support larger populations and provide more income when colonized.
Independent Colonies Explanation		;Independent alien populations are distributed throughout the galaxy at the start of the game.\n\nThis setting determines how many of these populations exist in the galaxy, and how large each of them are.
Colony Influence Range Explanation		;The size of influence circles that are projected out from colonies.\n\nColony influence determines your empire territory, i.e. which star systems belong to your empire.
Colonization Range Limit Explanation		;Whether colonization range limits are applied.\n\nIf turned on, new colonies must be within the specified distance from one of your existing colonies.
Race Explanation		;The dominant race at your empire's home colony.\n\nAs you colonize additional planets you can assimilate other alien populations, bringing other races into your empire.

Colonization Modifiers		;Colonization Modifiers
Colonization Minimum Quality		;Colonization Minimum Quality
Colony Growth Resources		;Colony Growth Resources
Reproduction Rate		;Reproduction Rate
Migration Tendency		;Migration Tendency
Migration Factor Unmoving		;Unmoving
Migration Factor Settled		;Settled
Migration Factor Neutral		;Neutral
Migration Factor Adventurers		;Adventurers
Migration Factor Nomadic Roamers		;Nomadic Roamers
Reproduction Rate Low		;Low
Reproduction Rate Moderate		;Moderate
Reproduction Rate Increased		;Increased
Reproduction Rate Rapid		;Rapid
Reproduction Rate Prolific		;Prolific
Assimilation Rate		;Assimilation Rate
Assimilation Rate Independent		;Rebellious
Assimilation Rate Resistant		;Resistant
Assimilation Rate Adaptable		;Adaptable
Assimilation Rate Compliant		;Compliant
Assimilation Rate Deferential		;Deferential

Feelings towards other Races		;Feelings towards other Races
Governments		;Governments
Default Infantry		;Default Infantry
Empire Name		;Empire Name
Empire Name Explanation		;Type a name for your empire
Primary Color		;Primary Color
Secondary Color		;Secondary Color
Primary Color Explanation		;The main color for your empire. This color is used to show your empire's star systems and territory in tha galaxy
Secondary Color Explanation		;The secondary color for your empire.
Empire Flag		;Empire Flag
Empire Flag Explanation		;The flag used to represent your empire
Preferred Governments		;Preferred Governments
Allowed Governments		;Allowed Governments

Your Empire Home System Harsh		;Harsh
Your Empire Home System Trying		;Trying
Your Empire Home System Normal		;Normal
Your Empire Home System Agreeable		;Agreeable
Your Empire Home System Excellent		;Excellent

Home System		;Home System
Home System Explanation		;The favorability of your home system.\n\nThis includes factors like: resource abundance, population level of your home colony, and the presence of other favorable planets in the system.
Your Empire Tech Level PreWarp		;PreWarp
Your Empire Tech Level X		;Level {0}
Tech Level		;Tech Level
Your Empire Tech Level Explanation		;How advanced your research is.\n\nThis determines which ship hulls and components are available for constructing ships and bases.\n\nPreWarp means zero tech researched.\n\nWhen Expansion is greater than 'Starting' then Tech Level must be at least level 1.
Galaxy Tech Level Explanation		;How advanced the research is for all empires in the galaxy.\n\nThis determines which ship hulls and components are available for constructing ships and bases.\n\nPreWarp means zero tech researched.\n\nWhen Expansion is greater than 'Starting' then Tech Level must be at least level 1.
Starting Location		;Starting Location
Starting Location Explanation		;The approximate starting location of your empire within the galaxy.\n\nThis is not a precise setting. It simply determines the region of the galaxy where your home system is located.\n\nThis area is indicated by blue shading in the galaxy preview below.
